objectid,filename,title,creator,mine,date,description,subject,location,latitude,longitude,source,format_original,format,type,identifier,language,rights,rightsstatement
bay_area_punk_flyers_8161_the_farm_sf_club_1986_1_1_1,bay_area_punk_flyers_8161_7_1.jpg,The Farm SF Club flyer,RRZ ,"Bay Area Punk Flyers Collection, #8161",1986,Punk flyer from The Farm SF Club documented in the Bay Area Punk Flyers collection ,punk rock music; punk flyers; san francisco venues; adolescents; verbal abuse; doggy style; Reagan; political iconography; surveillance,1499 Potrero San Francisco,37.7496,-122.4066,"Bay Area Punk Flyers Collection, #8161",Color,image/jpg,Image;StillImage,8161-7-1,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
bay_area_punk_flyers_8161_the_farm_sf_club_1986_1_1_2,bay_area_punk_flyers_8161_7_2.jpg,The Farm SF Club flyer,RRZ,"Bay Area Punk Flyers Collection, #8161",1986,Punk flyer from The Farm SF Club documented in the Bay Area Punk Flyers collection.,punk rock music; punk flyers; san francisco venues; capital punishment; sacrilege; front line; short dogs grow; political band name; music scene,1499 Potrero San Francisco,37.7496,-122.4066,"Bay Area Punk Flyers Collection, #8161",Color,image/jpg,Image;StillImage,8161-7-2,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
bay_area_punk_flyers_8161_the_farm_sf_club_1986_1_1_3,bay_area_punk_flyers_8161_7_3.jpg,The Farm SF Club flyer,RRZ,"Bay Area Punk Flyers Collection, #8161",1986,Punk flyer from The Farm SF Club documented in the Bay Area Punk Flyers collection.,punk rock music; punk flyers; san francisco venues; blast adrenalin od; frontline; life sentence; verbal abuse; attitude; illustration,1499 Potrero San Francisco,37.7496,-122.4066,"Bay Area Punk Flyers Collection, #8161",Color,image/jpg,Image;StillImage,8161-7-3,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
bay_area_punk_flyers_8161_sf_venues_misc_1985_1986_1,bay_area_punk_flyers_8161_14_1.jpg,San Francisco venues flyer,Unknown,"Bay Area Punk Flyers Collection, #8161",1985-1986,Punk venue flyer from San Francisco venues documented in the Bay Area Punk Flyers collection.,punk rock music; punk flyers; san francisco venues; brain damage; doktors; music scene,"San Francisco, California",37.7749,-122.4194,"Bay Area Punk Flyers Collection, #8161",Color,image/jpg,Image;StillImage,8161-14-1,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
bay_area_punk_flyers_8161_sf_venues_misc_1985_1986_2,bay_area_punk_flyers_8161_14_2.jpg,San Francisco venues flyer,RRZ records,"Bay Area Punk Flyers Collection, #8161",1985-1986,Punk venue flyer from San Francisco venues documented in the Bay Area Punk Flyers collection.,punk rock music; punk flyers; san francisco venues; gun violence; police; ,5127 Ingalls Road San Francisco,37.7327,-122.3849,"Bay Area Punk Flyers Collection, #8161",Color,image/jpg,Image;StillImage,8161-14-2,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_4,cometbus_4_8107_box_4_4.jpg,Psychotherapy 1991 1992,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psychotherapy; dimensionality,"Berkeley, CA ",37.8715,-122.273,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-4,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_5,cometbus_4_8107_box_4_5.jpg,Psychotherapy 1991 1992,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psychotherapy; television,"Berkeley, CA ",37.8715,-122.273,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-5,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_7,cometbus_4_8107_box_4_7.jpg,Psychotherapy 1991 1992,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psychotherapy; Bret Barrett; art; junk,Humboldt Ave Riverwest Milwaukee WI,43.0544,-87.8981,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-7,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_8,cometbus_4_8107_box_4_8.jpg,Psychotherapy 1991 1992,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psychotherapy; attitude; art; resistance,"Berkeley, CA ",37.8715,-122.273,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-8,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_9,cometbus_4_8107_box_4_9.jpg,Psychotherapy 1991 1992,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psychotherapy; nuclear radiation,Nuclear Reactor Site Blackfoot Idaho ,43.5486,-112.821,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-9,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
